priority_rank,resource_id,url,claim_count,category,description,already_ingested_by_this_library
579,RES-0581,https://secure.toronto.ca/council/agenda-item.do?item=2025.PH20.1,0,"City of Toronto primary govt (reviewed, logged)","7-9 Wardlaw Crescent supportive housing, Salvation Army adjacent shelter, Community Liaison Committee model — found via Task S TMMIS sweep, 'supportive housing' search term, confirmed real but not yet deeply integrated",yes
580,RES-0582,https://secure.toronto.ca/council/agenda-item.do?item=2025.HL23.8,0,"City of Toronto primary govt (reviewed, logged)","Downtown HART Hub interim model detail, Councillor Moise advocacy, 277 Victoria St context — found via Task S TMMIS sweep, 'supportive housing' search term, confirmed real but not yet deeply integrated",yes
581,RES-0583,https://secure.toronto.ca/council/agenda-item.do?item=2025.PH21.4,0,"City of Toronto primary govt (reviewed, logged)","Toronto Builds Policy Framework, Homes First consulted on 805 Wellington St West supportive housing — found via Task S TMMIS sweep, 'supportive housing' search term, confirmed real but not yet deeply integrated",yes
582,RES-0584,https://secure.toronto.ca/council/agenda-item.do?item=2024.PH14.8,0,"City of Toronto primary govt (reviewed, logged)","Housing Occupancy Trends 2001-2021, population growth context relevant to housing demand — found via Task S TMMIS sweep, 'supportive housing' search term, confirmed real but not yet deeply integrated",yes
583,RES-0585,https://secure.toronto.ca/council/agenda-item.do?item=2026.PH29.4,0,"City of Toronto primary govt (reviewed, logged)","RentSafeTO fee waivers for supportive/social housing providers — found via Task S TMMIS sweep, 'supportive housing' search term, confirmed real but not yet deeply integrated",yes
584,RES-0587,https://secure.toronto.ca/council/agenda-item.do?item=2015.CD6.5,0,"City of Toronto primary govt (reviewed, logged)","2015 Toronto Shelter Standards update, Housing First formally embedded; references 2013 HSSPF framework and Second Base youth shelter closure — found via Task S TMMIS sweep, 'Housing First' search term",yes
585,RES-0589,https://secure.toronto.ca/council/agenda-item.do?item=2023.BU2.1,0,"City of Toronto primary govt (reviewed, logged)","HIGH VALUE: a 2023 Council-ordered transparency request for exactly the kind of data this library seeks elsewhere - net-new shelter beds since 2018 by year, funding changes by program category 2018-2023 including defunded organizations, 10-year federal refugee reimbursement history. Whether the City ever actually produced these briefing notes is the key next question — found via Task S TMMIS sweep, 'drop-in' search term",yes
586,RES-0591,https://secure.toronto.ca/council/agenda-item.do?item=2026.MPB38.1,0,"City of Toronto primary govt (reviewed, logged)","2026 budget: $100K for drop-in winter/hygiene supplies via Toronto Drop-in Network partnership — found via Task S TMMIS sweep, 'drop-in' search term",yes
587,RES-0592,https://secure.toronto.ca/council/agenda-item.do?item=2022.EC28.9,0,"City of Toronto primary govt (reviewed, logged)","2022: City's own 1,800 supportive housing units/year target (10 years) - differs from the 2,000/year federal ask found via PH13.8, worth reconciling; also an open-data wrap-up-code/service-queue publication request, unclear if fulfilled — found via Task S TMMIS sweep, 'drop-in' search term",yes
588,RES-0593,https://secure.toronto.ca/council/agenda-item.do?item=2021.EC25.6,0,"City of Toronto primary govt (reviewed, logged)","2021: Council-ordered public Work Plan commitment on net shelter capacity as temporary leases end - unclear if ever published — found via Task S TMMIS sweep, 'drop-in' search term",yes
589,RES-0594,https://secure.toronto.ca/council/agenda-item.do?item=2022.BU37.1,0,"City of Toronto primary govt (reviewed, logged)","2022: multiple briefing note requests including SDFA funding levels since 2015, a full rental-subsidy cost analysis for the entire shelter population — found via Task S TMMIS sweep, 'drop-in' search term",yes
590,RES-0595,https://secure.toronto.ca/council/agenda-item.do?item=2017.CD21.16,0,"City of Toronto primary govt (reviewed, logged)","2017: Winter Respite Services origins, Out of the Cold Program expansion, Interfaith Coalition to Fight Homelessness — found via Task S TMMIS sweep, 'drop-in' search term",yes
591,RES-0597,https://secure.toronto.ca/council/agenda-item.do?item=2013.CD24.7,0,"City of Toronto primary govt (reviewed, logged)","24-hour safe drop-in for women feasibility review, 2013 - historical precedent for current gaps — found via Task S TMMIS sweep, 'drop-in' search term",yes
592,RES-0603,https://secure.toronto.ca/council/agenda-item.do?item=2022.EX30.2,0,"City of Toronto primary govt (reviewed, logged)","2022 TSSS operating budget $1,252.569M gross detail, menstrual/incontinence products funding, capital budget breakdown — found via Task S TMMIS sweep, 'drop-in' search term",yes
593,RES-0605,https://secure.toronto.ca/council/agenda-item.do?item=2020.EC16.1,0,"City of Toronto primary govt (reviewed, logged)","2020 encampment/outreach strategy, shelter-to-supportive-housing conversion portfolio review directive — found via Task S TMMIS sweep, 'Streets to Homes' search term",yes
594,RES-0608,https://secure.toronto.ca/council/agenda-item.do?item=2023.CC5.5,0,"City of Toronto primary govt (reviewed, logged)","March 2023 intergovernmental advocacy report on refugee claimant shelter response, IHAP extension request — found via Task S TMMIS sweep, 'refugee shelter' search term",yes
595,RES-0609,https://secure.toronto.ca/council/agenda-item.do?item=2023.EX9.19,0,"City of Toronto primary govt (reviewed, logged)","UNHCR presentation to Council on asylum claims global context, GTHA regional reception centre advocacy — found via Task S TMMIS sweep, 'refugee shelter' search term",yes
596,RES-0610,https://secure.toronto.ca/council/agenda-item.do?item=2023.MM7.42,0,"City of Toronto primary govt (reviewed, logged)","Ethiopian Association of Greater Toronto shelter partnership motion for refugee claimants — found via Task S TMMIS sweep, 'refugee shelter' search term",yes
597,RES-0611,https://secure.toronto.ca/council/agenda-item.do?item=2023.MM8.43,0,"City of Toronto primary govt (reviewed, logged)","Donations to City policy exception for asylum seeker support over $50,000 — found via Task S TMMIS sweep, 'refugee shelter' search term",yes
